,Abbreviation,slope_Phe,slope_Phe_pval_onetail,rho_Phe,rho_Phe_pval_onetail,slope_Glu,slope_Glu_pval_onetail,rho_Glu,rho_Glu_pval_onetail
0,SR,-4.4,0.0128,-0.71,0.0022,3.2,0.0128,0.63,0.3077
1,PI,-4.1,0.021099999999999997,-0.23,0.3289,3.5,0.021099999999999997,0.39,0.022600000000000002
2,MC,-6.5,0.0001,-0.68,0.0041,1.1,0.0001,0.23,0.0021
3,NPSG,-1.1,0.4597,-0.22,0.34380000000000005,6.5,0.4597,0.8,0.8644
4,KR,-6.9,0.0,-0.73,0.0014000000000000002,0.7,0.0,0.0,0.0
5,ET,-4.9,0.0051,-0.8,0.0002,2.7,0.0051,0.3,0.006500000000000001
6,SWT,-7.3,0.0,-0.85,0.0,0.3,0.0,-0.04,0.0
7,LHR,-5.6,0.0007000000000000001,-0.8,0.0002,2.0,0.0007000000000000001,0.72,0.5874
8,BS,-3.8,0.031400000000000004,-0.52,0.035500000000000004,3.8,0.031400000000000004,0.48,0.0669
9,SBB,-2.6,0.1402,-0.44,0.07780000000000001,5.0,0.1402,0.76,0.7361
